Title,Link,Price,Stock
The Four Agreements: A Practical Guide to Personal Freedom,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,17.66,18
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,31.05,18
The Elephant Tree,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,23.82,18
The Bear and the Piano,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,36.89,18
Sophie's World,https://books.toscrape.com/catalogue/sophies-world_966/index.html,15.94,18
Penny Maybe,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,33.29,18
Maude (1883-1993):She Grew Up with the country,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,18.02,18
"In a Dark, Dark Wood",https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,19.63,18
Behind Closed Doors,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,52.22,18
You can't bury them all: Poems,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,33.63,17
Slow States of Collapse: Poems,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,57.31,17
Reasons to Stay Alive,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,26.41,17
Private Paris (Private #10),https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,47.61,17
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,23.11,17
Without Borders (Wanderlove #1),https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,45.07,16
When We Collided,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,31.77,16
"We Love You, Charlie Freeman",https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,50.27,16
Untitled Collection: Sabbath Poems 2014,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,14.27,16
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,44.18,16
Unicorn Tracks,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,18.78,16
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,25.52,16
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,16.28,16
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,31.12,16
This One Summer,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,19.49,16
Thirst,https://books.toscrape.com/catalogue/thirst_946/index.html,17.27,16
The Torch Is Passed: A Harding Family Story,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,19.09,16
The Secret of Dreadwillow Carse,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,56.13,16
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,56.41,16
The Past Never Ends,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,56.5,16
The Natural History of Us (The Fine Art of Pretending #2),https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,45.22,16
The Nameless City (The Nameless City #1),https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,38.16,16
The Murder That Never Was (Forensic Instincts #5),https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,54.11,16
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,42.96,16
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,23.89,16
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,16.77,16
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,20.59,16
The Gutsy Girl: Escapades for Your Life of Epic Adventure,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,37.13,16
The Electric Pencil: Drawings from Inside State Hospital No. 3,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,56.06,16
The Death of Humanity: and the Case for Life,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,58.11,16
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,49.05,16
The Art Forger,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,40.76,16
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,19.73,16
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,32.24,16
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,41.83,16
Soul Reader,https://books.toscrape.com/catalogue/soul-reader_926/index.html,39.58,16
Security,https://books.toscrape.com/catalogue/security_925/index.html,39.25,16
"Saga, Volume 6 (Saga (Collected Editions) #6)",https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,25.02,16
"Saga, Volume 5 (Saga (Collected Editions) #5)",https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,51.04,16
Reskilling America: Learning to Labor in the Twenty-First Century,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,19.83,16
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,50.4,16
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,13.61,16
Princess Between Worlds (Wide-Awake Princess #5),https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,13.34,16
"Pop Gun War, Volume 1: Gift",https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,18.97,16
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,36.28,16
Patience,https://books.toscrape.com/catalogue/patience_916/index.html,10.16,16
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,15.44,16
orange: The Complete Collection 1 (orange: The Complete Collection #1),https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,48.41,16
Online Marketing for Busy Authors: A Step-By-Step Guide,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,46.35,16
On a Midnight Clear,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,14.07,16
Obsidian (Lux #1),https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,14.86,16
My Paris Kitchen: Recipes and Stories,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,33.37,16
Masks and Shadows,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,56.4,16
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,14.02,16
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,46.91,16
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,45.61,16
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,19.92,16
"Layered: Baking, Building, and Styling Spectacular Cakes",https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,40.11,16
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,53.9,16
Join,https://books.toscrape.com/catalogue/join_902/index.html,35.67,16
In the Country We Love: My Family Divided,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,22.0,16
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,57.36,16
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,29.17,16
I am a Hero Omnibus Volume 1,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,54.63,16
How to Be Miserable: 40 Strategies You Already Use,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html,46.03,16
Her Backup Boyfriend (The Sorensen Family #1),https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html,33.97,16
"Giant Days, Vol. 2 (Giant Days #5-8)",https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,22.11,16
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,29.69,16
First and First (Five Boroughs #3),https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html,15.97,16
Fifty Shades Darker (Fifty Shades #2),https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html,21.96,16
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,54.35,16
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,37.97,16
Danganronpa Volume 1,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,51.99,16
Crown of Midnight (Throne of Glass #2),https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html,43.29,16
"Codename Baboushka, Volume 1: The Conclave of Death",https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,36.72,16
Camp Midnight,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,17.08,16
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,29.14,16
Burning,https://books.toscrape.com/catalogue/burning_884/index.html,28.81,16
Bossypants,https://books.toscrape.com/catalogue/bossypants_883/index.html,49.46,16
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,37.92,16
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,28.09,16
Algorithms to Live By: The Computer Science of Human Decisions,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,30.81,16
A World of Flavor: Your Gluten Free Passport,https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html,42.95,16
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,56.76,16
A Murder in Time,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,16.64,16
A Flight of Arrows (The Pathfinders #2),https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,55.53,16
A Fierce and Subtle Poison,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html,28.13,16
A Court of Thorns and Roses (A Court of Thorns and Roses #1),https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,52.37,16
(Un)Qualified: How God Uses Broken People to Do Big Things,https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,54.0,16
You Are What You Love: The Spiritual Power of Habit,https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,21.87,15
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,43.3,15
Tuesday Nights in 1980,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html,21.04,15
Tracing Numbers on a Train,https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html,41.6,15
Throne of Glass (Throne of Glass #1),https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html,35.07,15
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html,59.64,15
Thirteen Reasons Why,https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html,52.72,15
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,58.08,15
The Wedding Dress,https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html,24.12,15
The Vacationers,https://books.toscrape.com/catalogue/the-vacationers_863/index.html,42.15,15
The Third Wave: An Entrepreneurâs Vision of the Future,https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,12.61,15
The Stranger,https://books.toscrape.com/catalogue/the-stranger_861/index.html,17.44,15
The Shadow Hero (The Shadow Hero),https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html,33.14,15
The Secret (The Secret #1),https://books.toscrape.com/catalogue/the-secret-the-secret-1_859/index.html,27.37,15
The Regional Office Is Under Attack!,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html,51.36,15
The Psychopath Test: A Journey Through the Madness Industry,https://books.toscrape.com/catalogue/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,36.0,15
The Project,https://books.toscrape.com/catalogue/the-project_856/index.html,10.65,15
The Power of Now: A Guide to Spiritual Enlightenment,https://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,43.54,15
The Omnivore's Dilemma: A Natural History of Four Meals,https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,38.21,15
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,https://books.toscrape.com/catalogue/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html,37.34,15
The Murder of Roger Ackroyd (Hercule Poirot #4),https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,44.1,15
The Mistake (Off-Campus #2),https://books.toscrape.com/catalogue/the-mistake-off-campus-2_851/index.html,43.29,15
The Matchmaker's Playbook (Wingmen Inc. #1),https://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html,55.85,15
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,https://books.toscrape.com/catalogue/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html,37.6,15
The Long Shadow of Small Ghosts: Murder and Memory in an American City,https://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html,10.97,15
The Kite Runner,https://books.toscrape.com/catalogue/the-kite-runner_847/index.html,41.82,15
The House by the Lake,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,36.95,15
The Glittering Court (The Glittering Court #1),https://books.toscrape.com/catalogue/the-glittering-court-the-glittering-court-1_845/index.html,44.28,15
The Girl on the Train,https://books.toscrape.com/catalogue/the-girl-on-the-train_844/index.html,55.02,15
The Genius of Birds,https://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html,17.24,15
The Emerald Mystery,https://books.toscrape.com/catalogue/the-emerald-mystery_842/index.html,23.15,15
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,https://books.toscrape.com/catalogue/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html,41.25,15
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,https://books.toscrape.com/catalogue/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html,32.0,15
The Artist's Way: A Spiritual Path to Higher Creativity,https://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,38.49,15
The Art of War,https://books.toscrape.com/catalogue/the-art-of-war_838/index.html,33.34,15
The Argonauts,https://books.toscrape.com/catalogue/the-argonauts_837/index.html,10.93,15
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,https://books.toscrape.com/catalogue/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html,27.55,15
Suddenly in Love (Lake Haven #1),https://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html,55.99,15
Something More Than This,https://books.toscrape.com/catalogue/something-more-than-this_834/index.html,16.24,15
Soft Apocalypse,https://books.toscrape.com/catalogue/soft-apocalypse_833/index.html,26.12,15
So You've Been Publicly Shamed,https://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html,12.23,15
Shoe Dog: A Memoir by the Creator of NIKE,https://books.toscrape.com/catalogue/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html,23.99,15
"Shobu Samurai, Project Aryoku (#3)",https://books.toscrape.com/catalogue/shobu-samurai-project-aryoku-3_830/index.html,29.06,15
Secrets and Lace (Fatal Hearts #1),https://books.toscrape.com/catalogue/secrets-and-lace-fatal-hearts-1_829/index.html,20.27,15
Scarlett Epstein Hates It Here,https://books.toscrape.com/catalogue/scarlett-epstein-hates-it-here_828/index.html,43.55,15
Romero and Juliet: A Tragic Tale of Love and Zombies,https://books.toscrape.com/catalogue/romero-and-juliet-a-tragic-tale-of-love-and-zombies_827/index.html,36.94,15
Redeeming Love,https://books.toscrape.com/catalogue/redeeming-love_826/index.html,20.47,15
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,https://books.toscrape.com/catalogue/poses-for-artists-volume-1-dynamic-and-sitting-poses-an-essential-reference-for-figure-drawing-and-the-human-form_825/index.html,41.06,15
Poems That Make Grown Women Cry,https://books.toscrape.com/catalogue/poems-that-make-grown-women-cry_824/index.html,14.19,15
"Nightingale, Sing",https://books.toscrape.com/catalogue/nightingale-sing_823/index.html,38.28,15
Night Sky with Exit Wounds,https://books.toscrape.com/catalogue/night-sky-with-exit-wounds_822/index.html,41.05,15
Mrs. Houdini,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html,30.25,15
Modern Romance,https://books.toscrape.com/catalogue/modern-romance_820/index.html,28.26,15
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),https://books.toscrape.com/catalogue/miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html,10.76,15
Louisa: The Extraordinary Life of Mrs. Adams,https://books.toscrape.com/catalogue/louisa-the-extraordinary-life-of-mrs-adams_818/index.html,16.85,15
Little Red,https://books.toscrape.com/catalogue/little-red_817/index.html,13.47,15
Library of Souls (Miss Peregrineâs Peculiar Children #3),https://books.toscrape.com/catalogue/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html,48.56,15
Large Print Heart of the Pride,https://books.toscrape.com/catalogue/large-print-heart-of-the-pride_815/index.html,19.15,15
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,https://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,57.36,15
Hollow City (Miss Peregrineâs Peculiar Children #2),https://books.toscrape.com/catalogue/hollow-city-miss-peregrines-peculiar-children-2_813/index.html,42.98,15
Grumbles,https://books.toscrape.com/catalogue/grumbles_812/index.html,22.16,15
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,49.43,15
Frostbite (Vampire Academy #2),https://books.toscrape.com/catalogue/frostbite-vampire-academy-2_810/index.html,29.99,15
Follow You Home,https://books.toscrape.com/catalogue/follow-you-home_809/index.html,21.36,15
First Steps for New Christians (Print Edition),https://books.toscrape.com/catalogue/first-steps-for-new-christians-print-edition_808/index.html,29.0,15
Finders Keepers (Bill Hodges Trilogy #2),https://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html,53.53,15
"Fables, Vol. 1: Legends in Exile (Fables #1)",https://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html,41.62,15
Eureka Trivia 6.0,https://books.toscrape.com/catalogue/eureka-trivia-60_805/index.html,54.59,15
